Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,IncomeGroup
Australia,AUS,,2.20692560793712,5.57982238394124,3.27642329508568,1.73296815471744,2.26055172547563,2.62118103356919,0.487603778344423,3.25731288075123,1.06790565029591,1.68731275314161,1.96215712359951,0.783718135678352,-1.50501371908559,-6.01710688667416,-5.3386262414954,-3.59867289743742,-1.3854596473304,1.05215865048983,0.451577604708986,-0.0339976167630712,2.10778189553925,1.41656486243981,2.05079757234455,3.37186563739584,7.39005351900863,7.93307034879721,7.52262378999285,6.44657903484019,6.61567133718071,9.67021678165599,10.0917039098626,8.97161508999743,8.47577209698829,7.9873226320194,8.02710491201081,6.83246606980178,5.81980195509809,5.48539696215229,6.06248171482023,5.03740890642031,2.11307506534252,3.42486719047131,3.52180969420429,3.69816487828225,3.30636818947589,2.37563825344262,3.0573409972652,4.14895231279179,1.02111732802342,6.05552716660896,1.44585192040902,5.07761464495177,6.35316102456067,4.4816194821113,6.23777334791279,6.12460674928936,1.53619552626779,3.32958805124833,1.57806683471944,,,,,High income
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3968389397733,18.9501337506138,21.2807435646547,21.9711391761297,19.9321704103354,28.5447785836521,44.4076299315176,44.113155823089,35.5300943196563,39.7798687084604,41.9515996899941,30.2290511824943,32.1815221664532,27.9483957185946,17.8530979126692,17.3230579080153,10.658607712596,6.02233191168513,10.075668935121,-1.55933382958247,5.110629662656,3.16372004257628,15.1460374289772,1.04104152848921,-3.21717814892891,3.7671913920337,4.77002914125702,7.49119863208271,13.3088029458405,9.43472490456167,1.93142092448395,4.8332593604001,9.15598643187716,9.62509681263889,3.90645451619611,2.51180756897757,9.19561261731636,Lower middle income
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4088449795992,77.6168379948237,67.0609170941772,48.5047281998625,45.6378187103224,48.3404374454115,46.4473988425047,43.7791527165785,44.6351688638607,41.2403264526711,35.0225154695215,35.3667577965037,34.7920096326271,29.1158055214655,32.8334595068102,26.5820905307869,18.4988444166435,22.403672441435,33.832343966101,40.6983614489962,41.7138078720244,33.1023342480424,31.9030727508498,21.1971796870516,15.0108849661413,28.3960928277404,37.2075093316886,Upper middle income
Canada,CAN,,3.08434502191208,4.34158934054212,3.49157940626927,2.8378186909815,1.92319980370654,1.02848464108352,1.40016265342413,2.74014228405464,2.9873573924693,3.28933020926219,1.47498851739188,0.164379092756994,-2.07677436560877,-4.17020138242983,-1.42441453679597,1.15664700746616,1.6702643303066,2.6780834824918,2.5672585017485,3.81089123801271,7.59505421805265,6.41882673104297,5.04816264344921,8.22548422041776,7.01089324133308,7.16404911930435,4.51298754467477,6.02002608262875,8.26516670894713,10.362805758869,6.6766405650628,5.92122346818007,4.58929908461354,5.34161483981042,6.24124783353636,4.31493790328593,3.77105927005848,6.79236177988972,4.42844742268115,2.77523979052002,4.17315132043514,2.91416358745355,1.39251007770278,0.715785247409594,1.26073559091866,3.16108205805931,2.71404280098465,0.704688623808158,4.83312171924355,-0.237699890817205,-0.236773175941093,1.76011033894486,1.23771669066581,1.03863897338225,3.67453345002429,1.96890523916422,0.12575223729819,,,,,,,High income
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,8.55562592504498,13.8660467988377,11.1902745097908,14.2006591439475,-5.09823082650433,15.2865727569669,11.4580593676427,8.35840500361886,14.5466691682474,19.5413245385254,20.9582073177269,14.4388808944533,23.3781484628964,14.919570901239,-11.1379559197298,13.3324808386691,9.77520490167072,7.8237979777331,7.27050966250741,9.36261382966903,6.6972959736936,9.67644438040683,8.82101697806755,8.594547353573,5.3722240266131,4.54296484242238,8.65535095377731,8.90797441037777,8.44294935194344,8.78547373201402,9.03209505722643,8.13449112757921,7.15306948982847,7.46754725861933,8.24660761552955,1.42458739401645,0.819154152685682,13.8189997645355,Upper middle income
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,-32.1286215774237,-4.40660921000652,1.11872763178115,0.308143300869122,3.17598100548479,12.419108136438,8.28771467631588,12.0790023487497,11.8169670927405,-15.7177378730942,7.29312940485817,17.7345585193255,15.0041362244295,12.7509362918451,9.73199502323991,6.798727784202,9.41156716936889,13.2465087318144,14.1690224943207,12.8615666821709,15.1473285623576,13.4978168220013,8.8885532110002,10.3018894838676,8.14628403390159,2.06443515922702,3.95222095886411,9.13571634156822,9.81159318113674,11.0452738948785,12.869664352569,10.1329957065898,8.18791760563077,9.88706328691094,9.49388346148549,8.26983032730686,8.73920721920776,6.02471556816459,5.82052018289417,3.06530709358031,1.01661806501087,9.19254167495134,Upper middle income
Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.356799609324,21.5705965570283,23.7238942594425,16.8374966126071,19.1788931963517,19.3541822661529,10.5575085815306,17.9689708749836,20.4276191390512,18.2742399974908,17.184522380505,17.8958206645937,-1.55091420822536,-8.63525201427491,17.3262411862842,12.0345137141633,7.60974471103748,8.65401435672139,14.1429457947122,6.34772067859711,6.93058716155887,9.88058813419776,8.49970558368276,9.18432964152428,12.105545410125,12.834607398428,9.3381614162872,8.0792258527232,9.71576484075912,5.97395752334564,1.69901512904323,1.0259702948332,7.52708778224265,Upper middle income
"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,,-3.1679145663416,-3.11968024055757,0.565092117486476,-9.31164222576606,0.802685991923364,17.584790467056,-7.80148477362347,2.03007518839485,6.23806586554709,3.06872172815906,1.88245857947696,3.43556713232139,3.1586341957331,-0.67491105497254,1.06753529927353,3.20463879555006,1.67092489009465,9.10124138379186,7.43541940070965,4.55215763100247,7.91322048801275,3.56345275833201,10.3918989204567,11.9358224030606,8.919600974251,11.2145133756357,10.300031943995,6.32702594810347,1.52690342883876,6.52364099171329,4.88079671789458,-0.0776285947232149,0.107853154662391,0.710036320068467,0.818721618124323,-0.563878053386473,-6.26271950249128,3.29215715258359,0.414129139027758,1.54106846018941,6.92201135491608,-8.75819408094445,-2.35870301315836,2.19909578279478,4.88781543020781,4.36620669870869,0.142669652477037,-5.66130850390234,Lower middle income
United Kingdom,GBR,,,,,,,,2.64696693637865,2.11072144051575,0.568714279756527,-1.82936155002678,-0.449712080306811,0.29084168320383,-0.382676747053772,-5.26616904917135,-12.1674069537389,-3.48579004370741,-4.22003924168985,-2.12134314497915,-0.325891299861888,-2.83291881289615,1.51093336164726,4.20056151405023,4.47329858645599,4.42735443464085,6.38913555457329,6.29317095592907,4.07333896735566,3.73354989397916,5.47171815483668,6.37884866319573,4.95766039654133,6.04185530145489,3.19331435600212,4.01323039109288,-4.30116696143634,1.74887159512651,6.72009845304119,5.87300336824894,3.9095595394909,4.78849714264846,3.557367143495,1.8419175830146,1.27823498008973,1.74598073249608,1.65837165593287,1.79567802450658,3.18903625106893,1.20675542498437,-1.22891011742003,-1.07204503119779,-1.65955031010568,-1.02690071841169,-1.5761921784733,-0.808242606626712,,,,,,,,,,High income
Honduras,HND,,,,,,,,,,,,,,,,,,,,,,,8.13063619322232,11.650914130155,12.5272068191996,14.3992749216085,13.696435759087,13.0074710996456,5.67652579398298,3.51675121875928,-6.36650751677457,-3.49108558068892,17.3709215892184,10.0530685105572,2.74949093468395,2.61573640429569,9.77048756186494,13.0595427652839,18.4892936720915,20.9868650553821,17.436909825413,14.5070191720073,16.7023341391041,14.2250659198217,12.6107713947498,10.7680920759953,11.4742824482469,9.35938603880539,9.41284412222124,10.9529575160613,13.5547928877014,9.97180699233074,14.3569629848232,18.4532824160286,12.8806218683924,12.8349768268253,15.0985365589809,14.1091275837915,15.5540781113514,13.5261185095151,13.1595005073251,10.8599265565956,4.8435865407753,7.74172345044945,Lower middle income
